Timestamp,Index,Environment,FilterLogType,Failure_Tag,MuleMessage.message,MuleMessage.applicationName,MuleMessage.metadata.universalCorrelationId,targetSystem,businessKeys
"2026-03-16T08:36:12.693719957Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:36:12.693719957Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:36:16.767495972Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:36:17.699513275Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:36:17.699513275Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:36:17.943696554Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:36:19.741607584Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:36:19.741607584Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:36:21.697548975Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:36:22.515797009Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:36:22.515797009Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:36:26.622295041Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:36:29.729730117Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:36:36.100459974Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:36:39.998922674Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:36:41.649583275Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:36:42.762276277Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:36:43.503368194Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
"2026-03-16T08:36:43.524184899Z","mulesoft-pharma-dev-rtf2-eu-2026.03.16","Development","rtf2-eu","_jsonparsefailure","(unparsed - json parse failure)","(unparsed)","(unparsed)","(unparsed)","(unparsed)"
