Interface,Entity,Direction,Total,Success,Failed,Source Systems,Target Systems
Inbound Delivery,SHP_IBDLV_SAVE_REPLICA,O,226,226,0,"S4Hana","MY_DI_DK(214) AE_PH_KN(10) EG_PH_EP(1) SA_PH_SL(1)"
Outbound Delivery,SHP_OBDLV_SAVE_REPLICA,O,2636,2636,0,"S4Hana","MY_DI_DK(2559) AE_PH_KN(42) SA_PH_SL(32) EG_PH_EP(3)"
Inbound Delivery Confirmation,SHP_OBDLV_CONFIRM_DECENTRAL,I,2183,2183,0,"MY_DI_DK(2168) AE_PH_KN(9) EG_PH_EP(3) SA_PH_SL(3)","S4Hana"
Outbound Delivery Confirmation,SHPCON,I,2175,2175,0,"MY_DI_DK(2168) SA_PH_SL(5) EG_PH_EP(2)","S4Hana"
Sales Orders,ORDERS,I,218,218,0,"MY_DI_DK(218)","S4Hana"
Stock Adjustments/Movements,MBGMCR,I,300,300,0,"MY_DI_DK(291) AE_PH_KN(6) SA_PH_SL(3)","S4Hana"
Information on Delivery,STATUS,I,2866,2866,0,"MY_DI_DK(2833) SA_PH_SL(33)","S4Hana"
Stock Reconciliation,ZREC,I,654,654,0,"DKSH(365) EPX(136) KUEHNENAGELUAE(81) SALEHIYAH(72)","S4Hana"
--- Additional Entities Detected ---,,,,,,
SHP_IBDLV_CONFIRM_DECENTRAL,SHP_IBDLV_CONFIRM_DECENTRAL,I,34,34,0,"MY_DI_DK(32) AE_PH_KN(1) EG_PH_EP(1)","S4Hana"
ORDRSP,ORDRSP,O,31,31,0,"S4Hana","MY_DI_DK(31)"
BPC,BPC,I,19,19,0,"DKSH(19)","S4Hana"
