Interface,Entity,Direction,Total,Success,Error,Source Systems,Target Systems
Inbound Delivery_Prod,SHP_IBDLV_SAVE_REPLICA,O,26,26,0,S4Hana,MY_DI_DK(26)
Outbound Delivery_Prod,SHP_OBDLV_SAVE_REPLICA,O,214,214,0,S4Hana,"MY_DI_DK(148), SK_PH_DS(34), CZ_PH_AH(27), SI_PH_KE(4), GH_PH_IL(1)"
Inbound Delivery Confirmation_Prod,SHP_OBDLV_CONFIRM_DECENTRAL,I,234,234,0,"MY_DI_DK(172), SK_PH_DS(30), CZ_PH_AH(26), GH_PH_IL(3), SI_PH_KE(3)",S4Hana
Outbound Delivery Confirmation_Prod,SHPCON,I,234,234,0,"MY_DI_DK(172), SK_PH_DS(41), CZ_PH_AH(21)",S4Hana
Sales Orders_Prod,ORDERS,I,18,18,0,"XDK_DI_MS(10), MY_DI_DK(8)",S4Hana
Stock Adjustments/Movements_Prod,MBGMCR,I,38,38,0,"MY_DI_DK(36), SK_PH_DS(2)",S4Hana
Information on Delivery_Prod,STATUS,I,262,262,0,"MY_DI_DK(196), SK_PH_DS(34), CZ_PH_AH(27), SI_PH_KE(4), GH_PH_IL(1)",S4Hana
Customer Invoice_Prod,INVOIC,O,72,72,0,S4Hana,XDK_DI_MS(72)
Material Master Outbound_Prod,/TNESP/MASTER,O,0,0,0,,
Sales Order Outbound_Prod,ORDERS,O,0,0,0,,
BPCOUT_Prod,BusinessPartnerBulkReplicationOut,O,0,0,0,,
Delivery Note_Prod,OBDDLN,I,54,54,0,"DSV(28), GRIT(26)",S4Hana
Stock Reconciliation_Prod,ZREC,I,40,40,0,"DKSH(18), EPX(5), GRIT(4), KUEHNENAGELUAE(4), SALEHIYAH(4), DSV(3), DPWorld(2)",S4Hana
SETCCE_Invoice_Prod,INVOIC (SETCCE),O,1,1,0,S4Hana,XSI_PH_SE(1)
