Wave E Overall Local Interfaces Scope - 19 Mar 2026
Environment: Prod
Regions: EMEA, APAC
EMEA Systems: GH_PH_IL, SI_PH_KE, DPWorld, DSV, SK_PH_DS, GRIT, XCZ_PH_GR, MYSUPPLY, XDK_DI_MS, CZ_PH_AH, XSI_PH_SE
APAC Systems: SALEHIYAH, EPX, KUEHNENAGELUAE, DKSH, EG_PH_EP, AE_PH_KN, SA_PH_SL, MY_DI_DK
Date Range: 19 Mar 2026 00:00:00 UTC - 20 Mar 2026 00:00:00 UTC
Total Transactions: 594
Success Rate: 100.0%

Interface,Entity,Direction,Total,Success,Failed,Source Systems,Target Systems,Region
Inbound Delivery,SHP_IBDLV_SAVE_REPLICA,O,30,30,0,S4Hana(30),"SI_PH_KE(15), SK_PH_DS(7), MY_DI_DK(6), CZ_PH_AH(2)",EMEA/APAC
Outbound Delivery,SHP_OBDLV_SAVE_REPLICA,O,151,151,0,S4Hana(151),"MY_DI_DK(98), SK_PH_DS(25), CZ_PH_AH(21), SI_PH_KE(6), GH_PH_IL(1)",EMEA/APAC
Inbound Delivery Confirmation,SHP_OBDLV_CONFIRM_DECENTRAL,I,75,75,0,"MY_DI_DK(34), CZ_PH_AH(21), SK_PH_DS(9), SI_PH_KE(6), GH_PH_IL(5)",S4Hana(75),EMEA/APAC
Outbound Delivery Confirmation,SHPCON,I,61,61,0,"MY_DI_DK(34), CZ_PH_AH(27)",S4Hana(61),EMEA/APAC
Sales Orders,ORDERS (I),I,21,21,0,XDK_DI_MS(21),S4Hana(21),EMEA
Stock Adjustments/Movements,MBGMCR,I,15,15,0,"MY_DI_DK(14), SK_PH_DS(1)",S4Hana(15),EMEA/APAC
Information on Delivery,STATUS,I,106,106,0,"MY_DI_DK(47), SI_PH_KE(31), CZ_PH_AH(23), SK_PH_DS(4), GH_PH_IL(1)",S4Hana(106),EMEA/APAC
Customer Invoice,INVOIC,O,64,64,0,S4Hana(64),XDK_DI_MS(64),EMEA
Material Master Outbound,/TNESP/MASTER,O,0,0,0,-,-,EMEA/APAC
Sales Order Outbound,ORDERS (O),O,0,0,0,-,-,EMEA/APAC
BPCOUT,BusinessPartnerBulkReplicationOut,O,0,0,0,-,-,EMEA/APAC
Delivery Note,OBDDLN,I,28,28,0,"GRIT(21), DSV(7)",S4Hana(28),EMEA
Stock Reconciliation,ZREC,I,25,25,0,"DKSH(6), EPX(5), GRIT(4), KUEHNENAGELUAE(4), SALEHIYAH(4), DPWorld(2)",S4Hana(25),EMEA/APAC
SETCCE_Invoice,INVOIC (SETCCE),O,3,3,0,-,XSI_PH_SE,EMEA

EMEA Systems Activity Summary
System,As Source,As Target,Total,Region
GH_PH_IL,11,1,12,EMEA
SI_PH_KE,37,21,58,EMEA
DPWorld,2,0,2,EMEA
DSV,7,0,7,EMEA
SK_PH_DS,14,32,46,EMEA
GRIT,25,0,25,EMEA
XCZ_PH_GR,0,0,0,EMEA
MYSUPPLY,0,0,0,EMEA
XDK_DI_MS,21,64,85,EMEA
CZ_PH_AH,71,23,94,EMEA
XSI_PH_SE,0,0,0,EMEA

APAC Systems Activity Summary
System,As Source,As Target,Total,Region
SALEHIYAH,4,0,4,APAC
EPX,5,0,5,APAC
KUEHNENAGELUAE,4,0,4,APAC
DKSH,8,0,8,APAC
EG_PH_EP,0,0,0,APAC
AE_PH_KN,0,0,0,APAC
SA_PH_SL,0,0,0,APAC
MY_DI_DK,129,104,233,APAC
